 	Pyrms37	Pyrms47	Pyrms63	Pyrms77B	Pyrms83B	Pyrms233	Pyrms319	Pyrms427	Pyrms607	Pyrms657
MD0292	197	163	151	200	115	253	284	211	284	168
MD0312	197	163	151	202	115	253	284	211	284	168
MD0320	197	163	151	200	115	253	284	211	284	168
MD0326	197	163	151	194	115	253	284	213	284	168
MD0338	197	163	151	194	118	253	284	211	284	168
MD0346	197	163	151	194	115	253	284	211	284	168
MD0355	197	163	151	194	115	253	284	211	284	170
MD0731	197	163	151	202	115	253	284	211	284	999
MD0750	197	163	151	194	115	253	284	213	284	168
MD0761	197	163	151	194	115	253	287	213	287	168
MD0763	197	163	151	194	115	253	284	211	281	168
MD0768	197	163	151	194	130	250	284	211	284	168
MD0772	197	163	151	194	115	253	284	213	281	168
MD0774	197	163	151	200	115	253	284	211	284	166
MD0775	197	163	151	200	115	253	284	211	284	166
MD0779	197	163	151	194	115	253	284	211	278	999
MD0780	197	163	151	200	115	256	284	211	284	168
MD0783	197	163	151	194	115	253	281	211	281	168
MD0790	197	163	151	194	115	253	278	211	278	168
MD0792	197	163	151	194	115	253	284	999	284	168
MD0794	197	163	151	200	118	253	284	211	284	168
MD0796	197	163	151	194	118	253	284	211	284	168
MD0801	197	163	155	194	115	253	284	205	284	168
MD0802	197	163	155	194	112	253	284	211	284	168
MD0805	197	163	151	200	115	253	284	213	284	168
MD0812	197	163	151	194	115	253	284	211	278	168
MD0813	197	163	151	194	115	253	281	211	278	168
MD0817	197	163	155	194	115	253	284	211	284	168
MD0819	197	163	151	194	115	253	281	211	281	168
MD0824	197	163	149	194	115	253	284	211	284	168
MD0836	197	163	151	196	118	253	284	211	284	168
MD0839	197	163	151	200	118	253	284	211	284	168
MD0840	197	163	151	200	115	253	281	211	284	168
MD0846	197	163	151	194	115	253	281	211	284	168
MD0866	197	163	153	194	115	253	284	211	284	168
MD0877	197	167	151	194	115	253	999	213	284	168
MD0880	197	163	151	200	115	253	999	211	999	168
MD0892	197	163	151	194	115	253	284	213	284	168
MD0900	197	163	151	194	115	253	287	211	287	168
MD0914	197	163	151	194	115	253	284	211	287	168
MD0919	197	163	151	200	115	253	284	211	269	168
MD0929	197	163	151	194	115	253	284	211	284	168
MD0931	197	163	155	194	115	253	281	211	281	168
MD0942	197	163	151	194	115	253	281	217	284	168
MD0946	197	163	151	194	118	253	281	211	284	168
